书名,授权级别,作品类别,本周点击,本月点击,本周更新,本月更新,周推荐票,月推荐票,人次,字数,更新天数
超级手术刀,签约作品,都市生活,33,688,6234,53710,42,168,1869,197161,39
不朽魔心,签约作品,异界大陆,7,88,4207,35129,0,0,18108,1611799,18
无敌从开宝箱开始,签约作品,都市异能,26,152,24287,213073,6,17,863,664078,65
有杀气,驻站作品,古典仙侠,7,20,5157,20464,0,0,20,18335,1
举国入侵异世界,签约作品,都市异能,33,135,14546,77466,0,1,135,77246,16
我真是练气期啊,签约作品,奇幻修真,570,4264,24684,216417,177,749,86020,1742995,196
超级兵工厂,专属作品,未来幻想,6,14,3881,14640,0,0,14,14640,7
都市之我活了万万年,签约作品,现代修真,716,6150,6242,102926,10,72,175309,2786753,197
八符,签约作品,东方玄幻,7,91,2255,25269,0,102,514,272258,2
可可书,驻站作品,现实题材,1,13,2856,18886,0,0,310,79755,1
御魂擎天,签约作品,异界大陆,174,1144,6587,59587,128,368,2366,280748,65
虚魂铭,驻站作品,异界大陆,1,13,7707,20281,7,8,13,20281,7
我的绝美女明星,签约作品,都市生活,43,152,24271,58685,23,87,1780,348736,7
众仙红包群,签约作品,都市异能,27,207,16923,115750,0,24,2010,547030,126
万界当铺,驻站作品,都市异能,2,10,13292,49478,0,0,39,118496,10
六界三部曲之封魔录,签约作品,东方玄幻,33,138,9257,69456,42,90,1162,327114,11
太阳神之门,驻站作品,未来幻想,4,52,4093,32462,0,0,910,74189,2
我真不是大反派,签约作品,东方玄幻,14,102,6841,55801,0,0,543,220415,32
花中霸道,授权作品,东方玄幻,4,66,3372,25450,0,3,66,25450,1
王者之我要打排位,专属作品,虚拟网游,6,6,3798,3798,0,0,6,5636,1
武境武者,授权作品,异界大陆,1,3,6607,12909,0,0,23,48849,4
异界侵略者,驻站作品,异界大陆,2,15,19964,165429,0,0,62,366674,33
叶小开修仙传,签约作品,异界大陆,11,108,12919,62706,29,141,1101,610225,122
殿下太凶了,驻站作品,架空历史,15,15,4775,4775,0,0,15,4785,1
西海幽沙之盐泽揭秘,专属作品,探险揭秘,17,24,5609,11207,16,16,24,11207,4
森罗法典,驻站作品,异界大陆,3,11,14948,91607,0,0,21,188308,43
深海狂觅,驻站作品,末世危机,5,30,6520,91655,0,1,30,91707,22
史上最强位面商店,签约作品,都市异能,27,3399,18722,121008,0,0,3560,323576,7
千域轮回,驻站作品,奇幻修真,3,3,14933,14933,0,0,34,42226,1
我真的不是唐僧,签约作品,洪荒封神,9,83,6138,69700,0,0,108,97443,35
灵耀大地,驻站作品,异界大陆,0,0,3124,3124,0,0,0,3124,目前在拼命写作中
开局两个女朋友,签约作品,都市重生,47,220,2092,73660,0,0,817,254462,1
小道友之红山巫书,签约作品,民间奇谈,11,101,6251,66530,7,35,33765,2352179,1
我被困了十万年,签约作品,都市异能,29,158,24093,179311,0,0,7615,1043591,34
父亲的明天,驻站作品,乡村乡土,9,9,2330,2330,0,0,9,2330,1
三大地,驻站作品,异界大陆,7,27,6684,23416,0,0,27,23978,11
神级鉴宝师,签约作品,都市异能,725,3431,10683,95948,53,541,3440,99845,27
修仙王道,授权作品,异界大陆,149,162,2360,12485,3,3,162,12483,2
